Acceleration X: -76.84, Y: -55.16, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -13.43 rad/s

Acceleration X: -140.27, Y: -52.71, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -16.70 rad/s

Acceleration X: 118.70, Y: -50.26, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -19.69 rad/s

Acceleration X: 56.51, Y: -46.58, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -22.69 rad/s

Acceleration X: -3.24, Y: -44.13, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -25.95 rad/s

Acceleration X: -69.12, Y: -41.68, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -28.95 rad/s

Acceleration X: -128.86, Y: -39.23, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -32.22 rad/s

Acceleration X: 123.98, Y: -35.55, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 34.53 rad/s

Acceleration X: 67.91, Y: -33.10, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 31.54 rad/s

Acceleration X: 4.49, Y: -30.65, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 28.27 rad/s

Acceleration X: -58.94, Y: -28.19, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 25.28 rad/s

Acceleration X: -123.58, Y: -24.52, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 22.01 rad/s

Acceleration X: 134.16, Y: -22.06, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 19.02 rad/s

Acceleration X: 73.19, Y: -19.61, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 15.75 rad/s

Acceleration X: 13.45, Y: -17.16, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 12.75 rad/s

